id,name
805012,Medvoška a.p.
102081,Mercator
102082,Mercator
604031,Mestni log
604032,Mestni log
503051,Mihov štradon
503052,Mihov štradon
602071,Mirje
602072,Mirje
603201,Mokrška
603202,Mokrška
745031,Mostiček
745032,Mostiček
102061,Mostovna
102062,Mostovna
536012,Mrzle njive
603061,Murgle
603064,Murgle
804211,Murkova
804212,Murkova
103081,N. STOŽICE P+R
745043,NOTRANJE GORICE
203171,NOVE JARŠE
504061,NS RUDNIK
504051,NS Rudnik
504052,NS Rudnik
704061,Na Gmajnici
704062,Na Gmajnici
802031,Na jami
802032,Na jami
804091,Na klancu
804092,Na klancu
203231,Na Žalah
203232,Na Žalah
204131,Nadgorica
204132,Nadgorica
100012,Navje
203161,Nove Jarše-Šmartinska
203071,Nove Žale
203072,Nove Žale
204101,Novo Polje
204102,Novo Polje
805031,Novo naselje
805032,Novo naselje
603172,OPEKARSKA
804111,Ob daljnovodu
804112,Ob daljnovodu
303032,Ob sotočju
104081,Obrtna cona
104082,Obrtna cona
804201,Omersova
804202,Omersova
603171,Opekarska
304021,Osenjakova
304022,Osenjakova
804341,Oval
804342,Oval
505162,OŠ Brinje
745101,OŠ Jezero
104151,OŠ Maksa Pečarja
104152,OŠ Maksa Pečarja
404161,OŠ Sostro
404162,OŠ Sostro
204261,PODGRAD
804221,PODUTIK
726011,POLHOV GRADEC
726012,POLHOV GRADEC
825031,POLJE obr.
804181,PRŽAN
415051,Pance
415052,Pance
101021,Parmova
101022,Parmova
503041,Peruzzijeva
503042,Peruzzijeva
736021,Petačev graben
736022,Petačev graben
304111,Petrol
304112,Petrol
803121,Plešičeva
803122,Plešičeva
204281,Pod Debnim vrhom
204282,Pod Debnim vrhom
403031,Pod Golovcem
403032,Pod Golovcem
504071,Pod Hribom
504072,Pod Hribom
804191,Pod Kamno gorico
804193,Pod Kamno gorico
702011,Pod Rožnikom
702012,Pod Rožnikom
404171,Pod Sivnikom
404172,Pod Sivnikom
404141,Pod Urhom
404142,Pod Urhom
505111,Pod gozdom
505112,Pod gozdom
804031,Podgora
804032,Podgora
204221,Podgorica
204222,Podgorica
204262,Podgrad
415021,Podlipoglav
415022,Podlipoglav
102051,Podmilščakova
102052,Podmilščakova
703051,Podmornica
703052,Podmornica
715121,Podolnica
715122,Podolnica
745051,Podpeč
745052,Podpeč
725121,Podreber/Polh.G.
